종목코드,종목명,분기,발표일,정보출처,유형,포함버전,상장직후,거래일t0,모델,추정관측수,alpha,beta_시장,beta_섹터,R2,CAR_0_1,CAR_0_5,CAR_0_20,CAR_PRE,이벤트키,사유
114840,아이패밀리에스씨,2023Q3,2023-11-13,정기보고서,유통,v1,False,2023-11-13,2팩터시장모델,220,0.005153182752856013,0.549840845891547,0.970846886871942,0.26054110697122124,-0.014541630840651621,-0.0003878565934606962,-0.015565901218895756,-0.08366765628079252,114840_2023Q3,
114840,아이패밀리에스씨,2023Q4,2024-02-14,잠정실적,유통,v1,False,2024-02-14,2팩터시장모델,220,0.0031643186738535387,0.39602507534549736,0.9972638679494602,0.26208860120578026,0.05424151361436048,0.026541344147805408,0.17274832343394808,0.12606008168107363,114840_2023Q4,
114840,아이패밀리에스씨,2024Q1,2024-05-10,정기보고서,유통,v1,False,2024-05-10,2팩터시장모델,220,0.0036923299863027216,0.2600765327947625,0.8932610493575662,0.22581508290158092,0.10041184376585452,0.04958561861316158,0.12552020679358228,-0.10212099471917706,114840_2024Q1,
114840,아이패밀리에스씨,2024Q2,2024-08-09,정기보고서,유통,v1,False,2024-08-09,2팩터시장모델,220,0.00633872245019685,0.19049071456947775,1.0744732133185853,0.3081189926209956,-0.12893513114867994,-0.2012142849363927,-0.4892242820693419,-0.007607328956940142,114840_2024Q2,
114840,아이패밀리에스씨,2024Q3,2024-11-11,정기보고서,유통,v1,False,2024-11-11,2팩터시장모델,220,0.0039036544336675328,0.5472084965883899,1.0657923816615407,0.3279175791746175,-0.00274373763430473,0.09149818218678842,0.10040399994729675,-0.2247180273919369,114840_2024Q3,
114840,아이패밀리에스씨,2024Q4,2025-02-10,잠정실적,유통,v1,False,2025-02-10,2팩터시장모델,220,0.0024345861638108944,1.0358202432822825,1.1122669858763816,0.42430285330110096,-0.1492326995183406,-0.09872388291532583,-0.26883596171670593,0.30300747034165393,114840_2024Q4,
114840,아이패밀리에스씨,2025Q1,2025-05-08,정기보고서,유통,v1,False,2025-05-08,2팩터시장모델,220,0.0012153116249527152,1.1027827827631937,1.2184721236186782,0.42789649105392136,-0.19310180745196578,-0.21235413483832605,-0.3850180593923733,0.05763985722286827,114840_2025Q1,
114840,아이패밀리에스씨,2025Q2,2025-08-14,정기보고서,유통,v1,False,2025-08-14,2팩터시장모델,220,-0.001878422917991433,1.1297229831778943,0.673479344153908,0.32081564816356045,0.07433888758301171,0.2758631760891448,0.3553760679936112,0.13441962404671856,114840_2025Q2,
114840,아이패밀리에스씨,2025Q3,2025-11-14,정기보고서,유통,v1,False,2025-11-14,2팩터시장모델,220,0.0008178857224532657,0.965069431714729,0.5684492385335262,0.20795035882579482,-0.04261508422203471,-0.0935522541394672,-0.08778046424507556,-0.13143072833959318,114840_2025Q3,
114840,아이패밀리에스씨,2025Q4,2026-03-19,정기보고서,유통,v1,False,2026-03-19,2팩터시장모델,220,-0.0025215921817093594,0.5812226522323038,0.466960714867619,0.17487230742558224,0.03986383002522299,0.025416693264842048,0.054120408731088886,-0.16556259740422935,114840_2025Q4,
114840,아이패밀리에스씨,2026Q1,2026-05-15,정기보고서,유통,v1,False,2026-05-15,2팩터시장모델,220,-0.003839218593561228,0.5610590156792687,0.47519873436965676,0.24849146700988034,0.03709943844559035,0.1415514478214384,0.18349559853446024,-0.15844628053475054,114840_2026Q1,
114840,아이패밀리에스씨,2026Q2,2026-08-13,정기보고서,유통,v1,False,2026-08-13,2팩터시장모델,220,-0.003222855604667691,0.6712102362037209,0.626140308983809,0.380256176792113,-0.032644978186861996,-0.05832133375096996,,0.06672596986735171,114840_2026Q2,
161890,한국콜마,2022Q3,2022-11-11,잠정실적,ODM,v1,False,2022-11-11,2팩터시장모델,220,0.0013218961608518535,1.1773552206413314,0.8252384214445397,0.547890836817582,0.025336094109151865,0.01256534801809802,-0.008765281131047964,-0.04439885100831076,161890_2022Q3,
161890,한국콜마,2022Q4,2023-02-27,잠정실적,ODM,v1,False,2023-02-27,2팩터시장모델,220,0.0006270558931443673,1.1226472179804041,0.8954102690653939,0.5799470820415062,-0.03679793421442784,-0.03661308934211071,-0.01897657975462648,-0.05417300873937185,161890_2022Q4,
161890,한국콜마,2023Q1,2023-05-12,잠정실적,ODM,v1,False,2023-05-12,2팩터시장모델,220,0.0004112679141313382,1.0332082824667574,0.8304697049101027,0.5508476887338455,-0.10537579176134775,-0.11388829153267269,-0.11020558954438138,-0.12965062435178112,161890_2023Q1,
161890,한국콜마,2023Q2,2023-08-11,잠정실적,ODM,v1,False,2023-08-11,2팩터시장모델,220,0.0007239646313874938,1.01073037844217,0.709226109438769,0.5047408855771958,0.05936863603511991,0.06831920016339824,-0.04355653693070807,0.0744724128294395,161890_2023Q2,
161890,한국콜마,2023Q3,2023-11-10,잠정실적,ODM,v1,False,2023-11-10,2팩터시장모델,220,0.001614459171943889,0.6252414374702248,0.6719853258481493,0.39159713315177425,-0.12462743910597174,-0.16475211209327761,0.010928774886437478,0.10716814514458779,161890_2023Q3,
161890,한국콜마,2023Q4,2024-02-08,잠정실적,ODM,v1,False,2024-02-08,2팩터시장모델,220,0.0009920521225455564,0.31091124633180744,0.6597405597581538,0.31048386504302306,0.001845683923827922,-8.147135396876018e-05,-0.04572168900024987,-0.08040158658576313,161890_2023Q4,
161890,한국콜마,2024Q1,2024-05-10,잠정실적,ODM,v1,False,2024-05-10,2팩터시장모델,220,0.0007805375637332469,0.1075346974610473,0.5754000122578218,0.26267507669880863,0.03434899667536547,0.005811163950032637,0.0748315099213311,-0.11935315272813633,161890_2024Q1,
161890,한국콜마,2024Q2,2024-08-09,잠정실적,ODM,v1,False,2024-08-09,2팩터시장모델,220,0.0021264569435261184,0.12387334372350645,0.7052039155899583,0.3562377229844662,0.09139120821112894,0.07423876063094574,0.19227449646992306,0.06827659104956829,161890_2024Q2,
161890,한국콜마,2024Q3,2024-11-08,잠정실적,ODM,v1,False,2024-11-08,2팩터시장모델,220,0.0014898703522020092,0.5197473923084103,0.7902839644698897,0.4143252002163593,-0.07002807287122767,-0.07409308281619897,-0.11538293264142988,-0.014696690631145606,161890_2024Q3,
161890,한국콜마,2024Q4,2025-02-11,잠정실적,ODM,v1,False,2025-02-11,2팩터시장모델,220,0.0005821337932493602,0.7698153102763291,0.7607972105146612,0.48115028084817246,-0.010805126049699899,-0.06910245128808878,0.06477757329605183,0.05810615701990484,161890_2024Q4,
